,precision,recall,f1-score,support
crazing,0.9782608695652174,1.0,0.989010989010989,45.0
inclusion,0.9767441860465116,0.9333333333333333,0.9545454545454546,45.0
patches,1.0,1.0,1.0,45.0
pitted_surface,0.9347826086956522,0.9555555555555556,0.945054945054945,45.0
rolled-in_scale,1.0,1.0,1.0,45.0
scratches,1.0,1.0,1.0,45.0
accuracy,0.9814814814814815,0.9814814814814815,0.9814814814814815,0.9814814814814815
macro avg,0.9816312773845635,0.9814814814814815,0.9814352314352314,270.0
weighted avg,0.9816312773845636,0.9814814814814815,0.9814352314352315,270.0
